RaisonSociale,Siret,FormeJuridique,Dirigeant,DateCreation,Effectif,Activite,CodeNAF,ChiffreAffaire,ResultatNet,DetteNette,FondsPropres,BFR,FR,EBE,CapitalSocial,CoûtDette,Tresorerie,CAF,BilanTotal,RatioGearing,RentabiliteExploitation,RentabiliteGlobale,RatioEquity,RatioLevier,ICR,Note3C,Note4C
NADIC SOC NANTAISE DISTRIBUTION CHALEUR,864 801 527 00036,SA,Nebojsa MAKSIMOVIC & DALKIA & Jérémie SOMVEILLE KPMG SA,01/01/1964,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,5710,-614,8050,-5808,464,464,137,40,41,0,770,10704,-1.38602,0.02399,-0.10753,-0.54260,58.75912,3.34146,3,3
STADE ENERGIES SAS,410 595 482 00051,SASU,Jean Christophe ALLUE & Yann MADIGOU & ERNST & YOUNG AUDIT,25/11/1996,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,5570,2410,1040,12266,2280,2360,4460,153,0.6,74.4,3420,15655,0.08479,0.80072,0.43268,0.78352,0.23318,7433.33333,1,0
NORENERGY,428 609 242 00014,SAS,NORPAPER AVOT-VALLEE & Valerie Marie-José LAROCHE & PRICEWATERHOUSECOOPERS AUDIT,13/12/1999,Au moins 1 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,8860,476,4740,3617,649,1800,1340,1250,58,1150,1080,10866,1.31048,0.15124,0.05372,0.33287,3.53731,23.10345,2,2
ENERGIVRY,443 526 454 00048,SARL,Jean-Christophe ALLUE & ERNST & YOUNG ET AUTRES,27/8/2002,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,4410,331,233,1410,-554,-533,1010,20,2,20.5,901,10966,0.16525,0.22902,0.07506,0.12858,0.23069,505.00000,1,0
CGCU CIE GEOTH CHAUF URBAIN,304 827 306 00032,SA,Stéphane & Jean & Louis AUFFRET & IDEX SERVICES & Eric & Jean & Pierre ROBIN PwC Entrepreneurs France,4/12/1985,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,5120,497,7730,9493,7200,7700,2260,182,352,494,1710,23527,0.81428,0.44141,0.09707,0.40349,3.42035,6.42045,1,1
FLEURY CHAUFFAGE SOFLEC,086 880 259 00014,SARL,Guillaume Michel Philippe COUPEAU,1/1/1968,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,2360,-216,5170,-1173,-446,-446,118,16,163,0,635,13523,-4.40750,0.05000,-0.09153,-0.08674,43.81356,0.72393,3,3
BLANC MESNIL ENERGIE SERVICES,440 117 307 00031,SASU,CORIANCE GROUPE & PRICEWATERHOUSECOOPERS AUDIT,5/11/2001,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,5980,37.2,18700,175,-476,-476,2840,130,600,0,2240,27097,106.85714,0.47492,0.00622,0.00646,6.58451,4.73333,3,3
STSP SOCIETE THERMIQUE DE SALON DE PROVENCE,637 080 276 00016,SA,Frédéric & Pierre & Nicolas & Antoine TURIN & CORIANCE & Serge BURTIN & DALKIA PRICEWATERHOUSECOOPERS AUDIT,1/1/1970,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,4860,932,540,744,222,1840,1460,39,4,1620,1050,2598,0.72581,0.30041,0.19177,0.28637,0.36986,365.00000,2,2
AES AULNAY ENERGIE SERVICES,423 963 438 00019,SASU,CORIANCE GROUPE & PRICEWATERHOUSECOOPERS AUDIT,9/8/1999,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,6790,1310,1440,1976,1820,1820,2640,610,81.5,0,2030,7057,0.72874,0.38881,0.19293,0.28001,0.54545,32.39264,1,1
SOCIETE DE COGENERATION DU BOURRAY,444 642 714 00075,SASU,Thierry LANDAIS & Philippe DRONEAU & ERNST & YOUNG AUDIT & AUDITEX,6/12/2002,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,2450,551,0,-3879,-4740,-4740,1120,40,172,0,1050,2427,0.00000,0.45714,0.22490,-1.59827,0.00000,6.51163,3,3
CHELLES CHALEUR,393 779 053 00023,SASU,CORIANCE GROUPE & PRICEWATERHOUSECOOPERS AUDIT,25/1/1994,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,7530,-568,1240,2064,-699,-699,1580,369,576,0,1150,19936,0.60078,0.20983,-0.07543,0.10353,0.78481,2.74306,2,2
FALAISE ENERGIE,444 485 098 00016,SA,Claude NICOLAS & DALKIA Jean Pascal BACQUAERT,19/11/2002,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,940,126,2440,-739,-107,-782,209,38.2,68.5,0.284,543,6142,-3.30176,0.22234,0.13404,-0.12032,11.67464,3.05109,1,1
AQUAFRAIS CANNES,830 310 140 00025,SAS,AQUAFRAIS CANNES HOLDING & SR AUDIT,16/6/2017,Entre 10 et 19 salariés,Aquaculture en mer,0321Z,6710,-868,8500,2641,4180,4830,-554,10,79.4,659,-661,11156,3.21848,-0.08256,-0.12936,0.23673,-15.34296,-6.97733,3,3
FERME MARINE DE NOIRMOUTIER,378 189 666 00027,SAS,HEMARINA,12/5/1990,Entre 3 et 5 salariés,Aquaculture en mer,0321Z,510,25.6,336,348,-276,-210,219,150,3.7,65.6,233,1031,0.96552,0.42941,0.05020,0.33754,1.53425,59.18919,1,1
ETABLISSEMENTS TARBOURIECH,532 639 184 00011,SAS,Romain TARBOURIECH & Florie TARBOURIECH,29/4/2011,Entre 6 et 9 salariés,Aquaculture en mer,0321Z,1070,91.4,900,1758,15.4,934,180,1505,9,918,182,3223,0.51195,0.16822,0.08542,0.54545,5.00000,20.00000,1,1
SARL HUITRES COCOLLOS,538 717 646 00011,SARL,Jacques Michel Gabriel COCOLLOS,5/12/2011,Entre 3 et 5 salariés,Aquaculture en mer,0321Z,1460,13.8,511,172,132,192,115,17.9,9.9,60.3,105,871,2.97093,0.07877,0.00945,0.19747,4.44348,11.61616,3,3
SARL KORNOC ETS STEPHAN,438 442 923 00019,SARL,Mauricette RIEUX & Eric STEPHAN,1/7/2001,Entre 3 et 5 salariés,Aquaculture en mer,0321Z,476,4.59,570,353,164,486,112,140,2,322,118,961,1.61473,0.23529,0.00964,0.36733,5.08929,56.00000,2,2
COOP MARITIME L ECLOSERIE DU TINDUFF,450 622 766 00019,SA,André LE GALL & COMITE DEPARTEMENTAL DES PECHES MARITIMES ET DES ELEVAGES MARINS DU FINISTERE,1/9/2003,Entre 3 et 5 salariés,Aquaculture en mer,0321Z,484,37.3,112,1042,396,825,256,61.7,-1.8,428,268,1316,0.10749,0.52893,0.07707,0.79179,0.43750,-142.22222,1,0
SARL ETANG DE DIANA,782 993 620 00015,SARL,François-Marie PANTALACCI,25/12/1974,Entre 10 et 19 salariés,Aquaculture en mer,0321Z,947,-256,368,795,-10.4,874,-179,27,-0.6,885,-18.5,1376,0.46289,-0.18902,-0.27033,0.57776,-2.05587,298.33333,1,1
ECLOSARIUM,395 313 208 00013,EURL,Lionel & Ernest & Joseph SCUR,6/6/1994,Entre 3 et 5 salariés,Aquaculture en mer,0321Z,121,-133,05.07,66.6,-211,-210,-101,65.5,51.7,1.36,-77.9,287,0.07613,-0.83471,-1.09917,0.23206,-0.05020,-1.95358,3,3
TISMAIL,399 818 087 00021,SAS,S.L.T. & B.L.V. & INTERCOMEX,2/1/1995,Entre 20 et 49 salariés,Fabrication d'articles chaussants à mailles,1431Z,6590,700,1180,1462,918,2080,1180,89,120,1160,1190,4251,0.80711,0.17906,0.10622,0.34392,1.00000,9.83333,2,1
CHAUX DE BORAN,348 943 606 00056,SASU,Cedric Joannes Rosa DE VICQ DE CUMPTICH & Jacques CHANTECLAIR & MAZARS,23/12/1988,Entre 3 et 5 salariés,Fabrication de chaux et plâtre,2352Z,8790,140,0,1461,2180,2190,418,762,-192,6.15,344,4666,0.00000,0.04755,0.01593,0.31312,0.00000,-2.17708,1,1
LABORATOIRES BIOTIC PHOCEA,423 788 975 00047,SARL,Sandie Sonia TIZIANO & CPECF - AUDIT,13/7/1999,Entre 20 et 49 salariés,Fabrication de colorants et de pigments,2012Z,3020,282,959,1774,536,2620,378,290,-0.7,2080,372,3282,0.54059,0.12517,0.09338,0.54052,2.53704,-540.00000,1,0
BEA BREST ENERGIE ACCUMULATEURS,431 443 563 00017,SARL,Caroline LAMBERT,3/5/2000,Entre 1 et 2 salariés,Fabrication de piles et d'accumulateurs électriques,2720Z,546,-4,286,169,409,435,8.42,15,0.7,26.5,6.69,512,1.69231,0.01542,-0.00733,0.33008,33.96675,12.02857,3,3
AEGILOPS APPLICATIONS,440 809 374 00026,SAS,hubert SAINSARD & Julien BAS & Marc BONFILS & GESTIONPHI & S.C.P. DE COMMISSAIRES AUX COMPTES MONTIEL ET ASSOCIES & Laurent MARTEL & Chantale PETTE,2/1/2002,Entre 6 et 9 salariés,Fabrication de colorants et de pigments,2012Z,9940,4110,0.1,6851.8,5480,6670,5990,100,0.9,1180,4200,8629.7,0.00001,0.60262,0.41348,0.79398,0.00002,6655.55556,1,0
VEXIN TECH,819 365 461 00014,SARL,Michael MATHIAS & Rudi MATHIAS,1/4/2016,0 salarié,Fabrication de parquets assemblés,1622Z,136,-56.3,39.4,-33.8,1.59,5.7,-55.8,4,0.3,4.1,-56.3,46.7,-1.16568,-0.41029,-0.41397,-0.72377,-0.70609,-186.00000,3,3
BROT TECHNOLOGIES,608 200 614 00048,SAS,Gilles CHARLIER & S 2 F ASSOCIES & Jean-Luc FLUCK,1/1/1974,Entre 20 et 49 salariés,Construction de locomotives et d'autre matériel ferroviaire roulant,3020Z,4310,238,179,2883,2180,2250,424,1000,0.1,71.3,379,3697,0.06209,0.09838,0.05522,0.77982,0.42217,4240.00000,1,0
