RaisonSociale,Siret,FormeJuridique,Dirigeant,DateCreation,Effectif,Activite,CodeNAF,ChiffreAffaire,ResultatNet,DetteNette,FondsPropres,BFR,FR,EBE,CapitalSocial,CoûtDette,Tresorerie,CAF,BilanTotal,RatioGearing,RentabiliteExploitation,RentabiliteGlobale,RatioEquity,RatioLevier,ICR,Note3C,Note4C
PRIMEURS DU SUD OUEST,750 142 598 00010,SAS,PRIMEALE FRANCE & Didier ARGUEIL & BSF AUDIT & Bertrand TOTEL & Pierre Francois PINCHAURET-LAMOTHE,08/03/2012,0 salarié,Traitement primaire des récoltes,0163Z,2590,-93.3,412,205.7,-597,-74.7,40.2,184,12.6,522,91.5,1902,2.00,0.02,-0.04,0.11,10.25,3.19,3,3
CIPA SARL,839 502 432 00025,SARL,Aldo BELLONE,23/03/2018,Entre 20 et 49 salariés,Construction et entretien de tunnels,4213B,880,85.3,45.2,85.3,207,252,126,100,0.1,45.2,96.6,2137,0.53,0.14,0.10,0.04,0.36,1260.00,1,1
T N T,411 143 571 00023,SASU,GROUPE CASTILLON & Sonia POLETTI & COMPAGNIE FIDUCIAIRE AUDIT,02/01/1997,Entre 20 et 49 salariés,Activités de soutien aux autres industries extractives,0990Z,8430,416,1.6,1352.5,416,1310,605,40,0.1,898,442,2041.5,0.00,0.07,0.05,0.66,0.00,6050.00,1,1
BENOIT GAUTHIER,450 578 638 00014,SASU,L.V.B.G & BOURGUIGNON AUDIT ASSOCIES - B.A.A. & Eric Patrice Joseph André LEVOIR,15/11/2003,Entre 6 et 9 salariés,Activités de soutien aux autres industries extractives,0990Z,2630,120,718,954.5,973,937,465,300,20.4,0.1,452,2074.4,0.75,0.18,0.05,0.46,1.54,22.79,1,1
SIRCO TRAVAUX SPECIAUX,403 601 222 00058,SASU,MATIERE & ARDOUREL & MATHONIER,22/12/1995,Entre 10 et 19 salariés,Construction d'ouvrages d'art,4213A,5280,159,605,258,-237,183,263,140.1,9.6,420,237,2634,2.34,0.05,0.03,0.10,2.30,27.40,3,3
LES TOURBIERES DE SUCE,381 802 651 00012,SARL,Dominique Pierre François LE ROY,14/01/1991,Entre 1 et 2 salariés,Extraction des minéraux chimiques et d'engrais minéraux,0891Z,463,14.8,97.4,166.2,119,135,46.9,68.6,1.2,16,45.3,303.8,0.59,0.10,0.03,0.55,02.08,39.08,1,1
POUZZOLANES DES DOMES,342 637 550 00019,SASU,CARRIERES DE FRANCE & F.R.A. & FIDUCIAIRE PARIS OUEST,01/10/1987,Entre 6 et 9 salariés,Extraction des minéraux chimiques et d'engrais minéraux,0891Z,3090,568,1040,752,575,795,741,145.6,2.2,220,608,2701,1.38,0.24,0.18,0.28,1.40,336.82,1,1
SOTAC,398 442 269 00039,SAS,SANDROC - SOCIETE PAR ACTIONS SIMPLIFIEE & SA AUDIT ET CONSEIL UNION - SOCIETE ANONYME & SA GROUPE CONSEIL UNION - SOCIETE ANONYME,26/09/1994,Entre 3 et 5 salariés,Extraction des minéraux chimiques et d'engrais minéraux,0891Z,1180,-37.1,526,8.5,-162,-118,-257,400,1.4,43.8,230,1460,61.88,-0.22,-0.03,0.01,-2.05,-183.57,3,3
SARL ACTIVERT,333 697 241 00029,SARL,Patrick DOS SANTOS,15/07/1985,Entre 6 et 9 salariés,Extraction de tourbe,0892Z,1520,146,693,408.4,252,617,1520,72,10.5,364,196,908.5,1.70,1.00,0.10,0.45,0.46,144.76,1,1
TOTALENERGIES EP TENGAH,327 643 003 00038,SAS,Francisco Javier RIELO AMEIJIDE & Stéphane PAUTARD & KPMG S.A,01/05/1983,0 salarié,Extraction de gaz naturel,0620Z,2880,-2280,5240,2436,4410,1070,2710,40,0.1,1690,413,9993,2.15,0.94,-0.79,0.24,1.93,27100.00,3,3
ECM ETUDES CONSTRUCTIONS ET MAINTENANCE,382 909 000 00046,SASU,Alain Jean Robert GRIZAUD & Florent Paul Roger GRIZAUD & Jérôme BERGONZO & HYPHEN Commissariat aux Comptes,21/08/1991,Entre 20 et 49 salariés,Construction d'ouvrages d'art,4213A,4060,21.3,2020,-360,1090,1350,60.2,120,0.3,257,74.8,2547,-5.61,0.01,0.01,-0.14,33.55,200.67,3,3
TERRIL D'AVION,409 749 595 00016,SARL,Christophe MASQUELIER & Patrick DESSAUVAGES,01/09/1996,0 salarié,Extraction de houille,0510Z,1230,288,557,1351,738,1390,408,82,-1.5,650,295,1960,0.41,0.33,0.23,0.69,1.37,-272.00,1,0
TERCHARNOR,329 769 061 00113,SAS,AD CACHERA & Alain Bernard Jean-Marie CACHERA & GB AUDIT,17/04/1984,Entre 1 et 2 salariés,Extraction de houille,0510Z,99.5,-45.5,0,673,-19.4,648,-44.2,440,0.1,668,-42.2,779,0.00,-0.44,-0.46,0.86,0.00,-442.00,3,3
ETABLISSEMENTS DUPUY,383 956 547 00012,SAS,ETUDE GESTION FINANCIERE VERNES HOLDING,01/01/1992,Entre 3 et 5 salariés,Extraction de tourbe,0892Z,588,-8.88,537,59,159,159,15.1,100,11.9,0.294,22.5,903,9.10,0.03,-0.02,0.07,35.56,1.27,3,3
LTP GENIE CIVIL ET GABIONS,417 659 984 00013,EURL,Jean-Pierre DUPUY & EXPERTISE COMPTABLE CONSEILS GESTION DES ENTREPRISES (E.C.C.G.E) & ACTIF AUDIT,08/01/1998,Entre 20 et 49 salariés,Construction d'ouvrages d'art,4213A,5740,322,0.859,46.6,-1240,-297,200,240,0.1,941,370,3427,0.02,0.03,0.06,0.01,0.00,2000.00,2,2
GROUPE SOTTAL TP,380 674 614 00033,SASU,Philippe ALMORIC & Christine BOREL & Serge DURIF & FIDUCIAIRE ILE DE FRANCE MEDITERRANEE AUDIT,02/01/1991,Entre 3 et 5 salariés,Construction d'ouvrages d'art,4213A,7220,163,80.3,3548,909,1340,65.5,1150,0.1,430,61.6,3892,0.02,0.01,0.02,0.91,1.23,655.00,2,2
STEELMAG INTERNATIONAL,795 229 301 00010,SASU,Chee Mun CHOY & Lionel Gérard FINE & Cabinet MAZARS,16/08/2013,Entre 20 et 49 salariés,Fabrication d'autres produits céramiques à usage technique,2344Z,6250,-226,0,216,-2220,-1800,154,715,0.024,427,141,4620,0.00,0.02,-0.04,0.05,0.00,6416.67,2,2
R.R.T.P. 48,805 052 966 00019,SAS,Christophe TEYSSIER,06/10/2014,Entre 6 et 9 salariés,Construction d'ouvrages d'art,4213A,952,80.4,30.7,405,109,373,140,20,2,264,94.9,831,0.08,0.15,0.08,0.49,0.22,70.00,1,1
HIGH TECH CERAM,907 350 656 00035,SAS,Philippe Jany Georges CHANEY & GRANT THORNTON & INSTITUT DE GESTION ET D'EXPERTISE COMPTABLE IGEC,01/01/1963,Entre 10 et 19 salariés,Fabrication d'autres produits céramiques à usage technique,2344Z,2450,170,200,793,420,865,327,44,2.5,445,283,1579,0.25,0.13,0.07,0.50,0.61,130.80,1,0
LMI LAMBERT MANUFIL INDUSTRIES,797 672 037 00018,SASU,ETABLISSEMENTS PAUL LAMBERT & Jean-Pierre Maurice SAUTEJEAU & GBS Associés & Vincent JOSTE,01/10/2013,Entre 20 et 49 salariés,Tréfilage à froid,2434Z,7450,-76.6,1210,2849,3380,3640,-380,2850,13,261,43.6,4930,0.42,-0.05,-0.01,0.58,-3.18,-29.23,3,3
MICROCERTEC,775 738 164 00059,SASU,MICROCERTEC HOLDING & François Alfred IRLINGER & Alain Eugene Jean Joseph CHARBONNIER & CEFIGEST & Véronique HEITMANN,01/01/1963,Entre 20 et 49 salariés,Fabrication d'autres produits céramiques à usage technique,2344Z,4040,462,456,2692,498,2360,903,292,6,1860,770,3684,0.17,0.22,0.11,0.73,0.50,150.50,1,0
EUROJOINT,343 664 173 00063,SARL,Michel Paul René ROBERT & Frédérique Nicole Marie BROCARD & Richard Paul Albert Louis WOLLF,01/01/1988,Entre 20 et 49 salariés,Construction d'ouvrages d'art,4213A,4760,428,9.5,1369,531,1330,442,73,5,796,444,2609,0.01,0.09,0.09,0.52,0.02,88.40,1,0
ESPRIT DU BOIS,527 704 209 00024,SARL,Jean Philippe Noël MICHEL,01/10/2010,Entre 3 et 5 salariés,Fabrication de parquets assemblés,1622Z,2720,47.7,204,82.3,281,281,58.5,20,9.3,0.029,51.9,1073,2.48,0.02,0.02,0.08,3.49,6.29,3,3
REXO,440 162 360 00026,SARL,Philippe GEERAERT,10/12/2001,Entre 3 et 5 salariés,Fabrication d'outillage portatif à moteur incorporé,2824Z,426,104,65.3,372,218,313,136,9,0.3,95.2,102,511,0.18,0.32,0.24,0.73,0.48,453.33,1,0
TETHYS SAS,451 456 552 00038,SASU,P.SAUSSOL TRANSMISSION & TETHYS HOLDING & David RUIZ & Christophe BOYER,05/01/2004,Entre 20 et 49 salariés,Fabrication de produits explosifs,2051Z,3800,781,264,3688,945,2970,1080,850,6.7,2030,1030,5108,0.07,0.28,0.21,0.72,0.24,196.36,1,0
SOCIETE NOUVELLE DE TRAVAUX PUBLICS ET DE GENIE CIVIL - SNGC,300 940 970 00027,SAS,B T V INVESTISSEMENTS &Tony Louis BONIFACI & Fabien CAZENAVE & SAS CDA,01/01/1974,Entre 20 et 49 salariés,Construction d'ouvrages d'art,4213A,4350,836,102,1004,-2260,-1950,161,111,2.5,318,792,5356,0.10,0.04,0.19,0.19,0.63,64.40,1,1
UNION BEURRIERE DU VAL DE MIEGES,778 407 726 00018,Société coopérative agricole,François VUILLEMIN & Laurent Claude Denise CUBY & SOCIETE COOPERATIVE AGRICOLE FROMAGERE FRUITIERE DE LA BAROCHE,01/01/2000,Entre 6 et 9 salariés,Fabrication de beurre,1051B,2620,126,427,1113,-29.3,756,223,82,4.7,786,224,1982,0.38,0.09,0.05,0.56,1.91,47.45,1,1
MICROPIERRE SA,552 820 557 00031,SASU,Philippe CHANEY & GRANT THORNTON & INSTITUT DE GESTION ET D'EXPERTISE COMPTABLE - IGEC,01/01/1955,Entre 10 et 19 salariés,Fabrication d'isolateurs et pièces isolantes en céramique,2343Z,4260,482,256,2351,915,2110,729,576,4.4,1290,613,3430,0.12,0.17,0.11,0.64,0.35,165.68,1,0
MAIA RAIL,520 352 782 00038,SA,Marc LOURDEAUX & Jean-Philippe MONNERIE & Frédéric Cédric FOUR & ROFFE ET ASSOCIES & Michel BERNARD,02/02/2010,Entre 20 et 49 salariés,Construction de voies ferrées de surface et souterraines,4212Z,8940,458,1090,3394,496,1380,1040,600,1.3,886,883,7625,0.32,0.12,0.05,0.45,01.05,800.00,1,1
LABORATOIRE D'ETALONS D'ACTIVITE,538 613 613 00040,SASU,"Jean-Luc VINCENT & Simon, Robert & Pascal, François Xavier SEGAL & KPMG S.A",30/11/2011,Entre 20 et 49 salariés,Enrichissement et retraitement de matières nucléaires,2013A,5950,-750,0,-1000,-1090,5240,111,250,35,0,141,9000,0.00,0.02,-0.13,-0.11,0.00,3.17,3,3
SECIP SOC EXPL CHAUFFAGE INSINERAT,712 820 968 00022,SARL,Thierry LANDAIS & Barthélémy FOUBERT & EXCO ACE (EX ACE) & BL AUDIT,01/01/1971,Entre 20 et 49 salariés,Production et distribution de vapeur et d'air conditionné,3530Z,5330,376,1740,660,2390,2590,218,38,0.1,202,455,5396,2.64,0.04,0.07,0.12,7.98,2180.00,3,3
AXEO DEVELOPPEMENT,501 233 563 00011,SASU,LPS RÉSEAUX & François-Xavier ANDRAULT & DUO SOLUTIONS AUDIT,06/11/2007,Entre 10 et 19 salariés,Supports juridiques de gestion de patrimoine immobilier,6832B,5110,1150,1300,1788,748,2050,1710,10,0.1,1300,1200,3160,0.73,0.33,0.23,0.57,0.76,17100.00,1,0
AQUARELIA GESTION,504 813 007 00029,SASU,"Stéphane, Vincent, Joaquim ORIA & Laurence Bernadette CHOPARD & FERRUA RIBES AUDIT & Franck FERRUA",03/06/2008,Entre 10 et 19 salariés,Supports juridiques de gestion de patrimoine immobilier,6832B,1550,46.8,129,0.7,-33,106,14.9,50,0.5,139,53.6,472,184.29,0.01,0.03,0.00,8.66,29.80,3,3
AP ENTREPRISES ET SERVICES,448 684 928 00014,SASU,Antoine Marie Georges PLUCHET & Véronique Marie Joseph DESOUTTER & BOURBON CHRISTIAN AUDIT & Bernard DESGACHES,20/05/2003,Entre 10 et 19 salariés,Supports juridiques de gestion de patrimoine immobilier,6832B,348,195,2,953,129,243,58.9,66,0.5,113,195,1088,0.00,0.17,0.56,0.88,0.03,117.80,1,0
SA A DIRECTOIRE GADEA INVESTISSEMENTS,300 940 236 00015,SARL,Christophe GADEA & Nathalie Monique GADEA,01/01/1974,Entre 1 et 2 salariés,Supports juridiques de gestion de patrimoine immobilier,6832B,476,147,121,546,78.7,88.5,161,300,0.6,9.8,210,717,0.22,0.34,0.31,0.76,0.75,268.33,1,0
EPI ENOLA,434 835 062 00051,SASU,JEAN-MARC LE PRADO,01/03/2001,Entre 1 et 2 salariés,Supports juridiques de gestion de patrimoine immobilier,6832B,507,11.9,70.1,177,192,232,7.24,129,2.5,39.7,16.7,378,0.40,0.01,0.02,0.47,9.68,2.90,1,1
SOCIETE LITTORALE D ETUDES IMMOBILIERES ET DE LANCEMENT SOLEIL,696 220 466 00036,SARL,Eric André Jean DOLLA,01/01/1972,Entre 1 et 2 salariés,Supports juridiques de gestion de patrimoine immobilier,6832B,179,92.5,99.5,514,78.7,291,141,174,2.3,212,112,624,0.19,0.79,0.52,0.82,0.71,61.30,1,0
GNV ALPES GRENOBLE,440 033 512 00011,SAS,Thierry JACQUIN & Habib SEHIL & MAZARS & Christine Céline Danièle GOCHARD & Christophe SUSZYLO & Jean-Baptiste FURIA & Françoise Madeleine Anne GARNIER,30/10/2001,0 salarié,Distribution de combustibles gazeux par conduites,3522Z,1410,157,0,509,323,479,344,153,0.1,156,338,892,0.00,0.24,0.11,0.57,0.00,2.21,1,1
TEJELEC,809 382 021 00016,SARL,Gilles Paul César ELICAGOYEN,17/01/2015,Entre 1 et 2 salariés,Distribution d'électricité,3513Z,101,36.1,0,40,-0.5,40.5,44,1,0.1,41,36.1,56.8,0.00,0.44,0.36,0.70,0.00,440.00,1,0
COOPERATIVE D ELECTRICITE,956 200 190 00018,SA,Alain GOBAUT & Yves ISSERMANN & Robert DUNY & Annie DROUET & Cécile DUNY & Frédérique Solange Louise DUVAL BROWN ET ASSOCIES,01/01/1956,Entre 10 et 19 salariés,Distribution d'électricité,3513Z,7820,730,5830,7935,-1030,4800,1580,40,0.1,5830,1190,13717,0.73,0.20,0.09,0.58,3.69,15800.00,1,1
NADIC SOC NANTAISE DISTRIBUTION CHALEUR,864 801 527 00036,SA,Nebojsa MAKSIMOVIC & DALKIA & Jérémie SOMVEILLE KPMG SA,01/01/1964,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,6370,-284,7350,-5014,13.2,13.8,117,40,113,0.5,526,11113,-1.46590,0.01837,-0.04458,-0.45118,62.82051,1.03540,3,3
STADE ENERGIES SAS,410 595 482 00051,SASU,Jean Christophe ALLUE & Yann MADIGOU & ERNST & YOUNG AUDIT,25/11/1996,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,6100,2640,3720,7273,-1000,-468,4810,153,4,534,3550,13874,0.51148,0.78852,0.43279,0.52422,0.77339,1202.50000,1,0
NORENERGY,428 609 242 00014,SAS,NORPAPER AVOT-VALLEE & Valerie Marie-José LAROCHE & PRICEWATERHOUSECOOPERS AUDIT,13/12/1999,Au moins 1 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,9060,538,1740,3344,-892,-794,1420,1250,43,98.5,1160,9644,0.52033,0.15673,0.05938,0.34674,1.22535,33.02326,2,1
ENERGIVRY,443 526 454 00048,SARL,Jean-Christophe ALLUE & ERNST & YOUNG ET AUTRES,27/8/2002,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,4870,972,778,558,-1490,-1420,1550,20,0.1,69,1830,10955,1.39427,0.31828,0.19959,0.05094,0.50194,15500.00000,2,2
CGCU CIE GEOTH CHAUF URBAIN,304 827 306 00032,SA,Stéphane & Jean & Louis AUFFRET & IDEX SERVICES & Eric & Jean & Pierre ROBIN PwC Entrepreneurs France,4/12/1985,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,5460,725,9340,8242,6570,7080,2510,182,446,509,1840,22987,1.13322,0.45971,0.13278,0.35855,3.72112,5.62780,1,1
FLEURY CHAUFFAGE SOFLEC,086 880 259 00014,SARL,Guillaume Michel Philippe COUPEAU,1/1/1968,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,2690,-429,6590,-737,-434,-434,108,16,365,0,363,13810,-8.94166,0.04015,-0.15948,-0.05337,61.01852,0.29589,3,3
BLANC MESNIL ENERGIE SERVICES,440 117 307 00031,SASU,CORIANCE GROUPE & PRICEWATERHOUSECOOPERS AUDIT,5/11/2001,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,6240,-302,17500,1285,-50.5,-50.5,2330,130,692,0,1890,25822,13.61868,0.37340,-0.04840,0.04976,7.51073,3.36705,3,3
STSP SOCIETE THERMIQUE DE SALON DE PROVENCE,637 080 276 00016,SA,Frédéric & Pierre & Nicolas & Antoine TURIN & CORIANCE & Serge BURTIN & DALKIA PRICEWATERHOUSECOOPERS AUDIT,1/1/1970,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,5000,679,738,2725,1160,2140,1210,39,27,977,870,7410,0.27083,0.24200,0.13580,0.36775,0.60992,44.81481,1,0
AES AULNAY ENERGIE SERVICES,423 963 438 00019,SASU,CORIANCE GROUPE & PRICEWATERHOUSECOOPERS AUDIT,9/8/1999,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,8350,1210,2410,1877,2280,2280,2560,610,125,0,1840,8118,1.28396,0.30659,0.14491,0.23121,0.94141,20.48000,1,1
SOCIETE DE COGENERATION DU BOURRAY,444 642 714 00075,SASU,Thierry LANDAIS & Philippe DRONEAU & ERNST & YOUNG AUDIT & AUDITEX,6/12/2002,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,1020,-2340,0,-950,-5530,-5530,1140,40,12.5,0,1220,8093,0.00000,1.11765,-2.29412,-0.11739,0.00000,91.20000,3,3
CHELLES CHALEUR,393 779 053 00023,SASU,CORIANCE GROUPE & PRICEWATERHOUSECOOPERS AUDIT,25/1/1994,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,9150,327,1300,3348,10.9,10.9,2870,369,643,0,2040,20598,0.38829,0.31366,0.03574,0.16254,0.45296,4.46345,1,0
FALAISE ENERGIE,444 485 098 00016,SA,Claude NICOLAS & DALKIA Jean Pascal BACQUAERT,19/11/2002,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,976,-145,2790,-474,17.6,17.9,976,38.2,116,0.364,280,6343,-5.88608,1.00000,-0.14857,-0.07473,2.85861,8.41379,2,1
AQUAFRAIS CANNES,830 310 140 00025,SAS,AQUAFRAIS CANNES HOLDING & SR AUDIT,16/6/2017,Entre 10 et 19 salariés,Aquaculture en mer,0321Z,2630,-1470,6280,1459,3920,3980,-932,10,85.7,63.4,-1020,6415,4.30432,-0.35437,-0.55894,0.22744,-6.73820,-10.87515,3,3
FERME MARINE DE NOIRMOUTIER,378 189 666 00027,SAS,HEMARINA,12/5/1990,Entre 3 et 5 salariés,Aquaculture en mer,0321Z,721,0.71,867,294,-125,-26.8,162,150,6.8,97.8,163,1460,2.94898,0.22469,0.00098,0.20137,5.35185,23.82353,2,2
ETABLISSEMENTS TARBOURIECH,532 639 184 00011,SAS,Romain TARBOURIECH & Florie TARBOURIECH,29/4/2011,Entre 6 et 9 salariés,Aquaculture en mer,0321Z,1160,200,155,282,128,150,248,5,3.7,21.6,259,775,0.54965,0.21379,0.17241,0.36387,0.62500,67.02703,1,0
SARL HUITRES COCOLLOS,538 717 646 00011,SARL,Jacques Michel Gabriel COCOLLOS,5/12/2011,Entre 3 et 5 salariés,Aquaculture en mer,0321Z,972,36.1,313,109,60.5,116,114,17.9,7,55.8,93.1,591,2.87156,0.11728,0.03714,0.18443,2.74561,16.28571,2,2
SARL KORNOC ETS STEPHAN,438 442 923 00019,SARL,Mauricette RIEUX & Eric STEPHAN,1/7/2001,Entre 3 et 5 salariés,Aquaculture en mer,0321Z,465,34.2,446,267,165,467,108,140,1.7,302,122,742,1.67041,0.23226,0.07355,0.35984,4.12963,63.52941,1,1
COOP MARITIME L ECLOSERIE DU TINDUFF,450 622 766 00019,SA,André LE GALL & COMITE DEPARTEMENTAL DES PECHES MARITIMES ET DES ELEVAGES MARINS DU FINISTERE,1/9/2003,Entre 3 et 5 salariés,Aquaculture en mer,0321Z,667,57.3,9.36,701,289,589,276,61.7,-1,300,280,1232,0.01335,0.41379,0.08591,0.56899,0.03391,-276.00000,1,1
SARL ETANG DE DIANA,782 993 620 00015,SARL,François-Marie PANTALACCI,25/12/1974,Entre 10 et 19 salariés,Aquaculture en mer,0321Z,1600,79.6,25.2,3561,78.5,723,164,27,-0.5,645,155,4338,0.00708,0.10250,0.04975,0.82089,0.15366,-328.00000,1,0
ECLOSARIUM,395 313 208 00013,EURL,Lionel & Ernest & Joseph SCUR,6/6/1994,Entre 3 et 5 salariés,Aquaculture en mer,0321Z,197,-183,14.6,-230,-301,-295,-171,65,15.6,5.76,-167,243,-0.06348,-0.86802,-0.92893,-0.94650,-0.08538,-10.96154,3,3
TISMAIL,399 818 087 00021,SAS,S.L.T. & B.L.V. & INTERCOMEX,2/1/1995,Entre 20 et 49 salariés,Fabrication d'articles chaussants à mailles,1431Z,5090,-37.3,539,967,884,1010,0.003,89,120,123,34.6,3347,0.55739,0.00000,-0.00733,0.28892,179666.66667,0.00003,2,2
CHAUX DE BORAN,348 943 606 00056,SASU,Cedric Joannes Rosa DE VICQ DE CUMPTICH & Jacques CHANTECLAIR & MAZARS,23/12/1988,Entre 3 et 5 salariés,Fabrication de chaux et plâtre,2352Z,8690,30.4,0,1334,1970,1970,281,762,-236,6.59,272,4380,0.00000,0.03234,0.00350,0.30457,0.00000,-1.19068,2,1
LABORATOIRES BIOTIC PHOCEA,423 788 975 00047,SARL,Sandie Sonia TIZIANO & CPECF - AUDIT,13/7/1999,Entre 20 et 49 salariés,Fabrication de colorants et de pigments,2012Z,3150,393,410,1595,662,1650,543,290,-1.7,984,489,2495,0.25705,0.17238,0.12476,0.63928,0.75506,-319.41176,1,1
BEA BREST ENERGIE ACCUMULATEURS,431 443 563 00017,SARL,Caroline LAMBERT,3/5/2000,Entre 1 et 2 salariés,Fabrication de piles et d'accumulateurs électriques,2720Z,951,45.5,118,240,324,348,87.9,15,1.9,23.8,69.4,608,0.49167,0.09243,0.04784,0.39474,1.34243,46.26316,2,1
AEGILOPS APPLICATIONS,440 809 374 00026,SAS,hubert SAINSARD & Julien BAS & Marc BONFILS & GESTIONPHI & S.C.P. DE COMMISSAIRES AUX COMPTES MONTIEL ET ASSOCIES & Laurent MARTEL & Chantale PETTE,2/1/2002,Entre 6 et 9 salariés,Fabrication de colorants et de pigments,2012Z,1860,411,0.1,2127,1160,2070,571,100,0.1,915,430,2835.3,0.00005,0.30699,0.22097,0.75019,0.00018,5710.00000,1,0
VEXIN TECH,819 365 461 00014,SARL,Michael MATHIAS & Rudi MATHIAS,1/4/2016,0 salarié,Fabrication de parquets assemblés,1622Z,176,-20.5,11.5,17.4,27.9,27.9,-22.9,4,0.1,0.1,-19.3,38.5,0.66092,-0.13011,-0.11648,0.45195,-0.50218,-229.00000,3,3
BROT TECHNOLOGIES,608 200 614 00048,SAS,Gilles CHARLIER & S 2 F ASSOCIES & Jean-Luc FLUCK,1/1/1974,Entre 20 et 49 salariés,Construction de locomotives et d'autre matériel ferroviaire roulant,3020Z,6160,568,85.7,2380,1540,1680,899,1000,6,144,660,3522,0.03601,0.14594,0.09221,0.67575,0.09533,149.83333,1,0
FORAGES MASSE MICHEL,308 598 861 00018,SAS,Philippe AUGER & AUDIT XAVIER ROUSSEL & STE D'EXPERTISE COMPTABLE ET DE COMMISSARIAT AUX COMPTES - CSV AUDIT,1/1/1977,Entre 20 et 49 salariés,Forages et sondages,4313Z,4120,107,215,5050,2020,4400,470,217,3.6,2370,471,6328.2,0.04257,0.11408,0.02597,0.79802,0.45745,130.55556,2,1
