RaisonSociale,Siret,FormeJuridique,Dirigeant,DateCreation,Effectif,Activite,CodeNAF,ChiffreAffaire,ResultatNet,DetteNette,FondsPropres,BFR,FR,EBE,CapitalSocial,CoûtDette,Tresorerie,CAF,BilanTotal,RatioGearing,RentabiliteExploitation,RentabiliteGlobale,RatioEquity,RatioLevier,ICR,Note3C,Note4C
EUROJOINT,343 664 173 00063,SARL,Michel Paul René ROBERT & Frédérique Nicole Marie BROCARD & Richard Paul Albert Louis WOLLF,01/01/1988,Entre 20 et 49 salariés,Construction d'ouvrages d'art,4213A,6860,186,1.2,1155,15.7,1480,604,73,5,1460,590,3278,0.00,0.09,0.03,0.35,0.00,120.80,2,2
ESPRIT DU BOIS,527 704 209 00024,SARL,Jean Philippe Noël MICHEL,01/10/2010,Entre 3 et 5 salariés,Fabrication de parquets assemblés,1622Z,5470,64.3,135,146,278,279,82.4,20,7.5,1.16,67.4,1720,0.92,0.02,0.01,0.08,1.64,10.99,2,2
REXO,440 162 360 00026,SARL,Philippe GEERAERT,10/12/2001,Entre 3 et 5 salariés,Fabrication d'outillage portatif à moteur incorporé,2824Z,421,49.4,206,398,195,273,68.9,9,1,77.7,60.8,717,0.52,0.16,0.12,0.56,2.99,68.90,1,0
TETHYS SAS,451 456 552 00038,SASU,P.SAUSSOL TRANSMISSION & TETHYS HOLDING & David RUIZ & Christophe BOYER,05/01/2004,Entre 20 et 49 salariés,Fabrication de produits explosifs,2051Z,3540,602,200,4060,1730,3380,1120,850,5.9,1650,871,5556,0.05,0.32,0.17,0.73,0.18,189.83,1,0
SOCIETE NOUVELLE DE TRAVAUX PUBLICS ET DE GENIE CIVIL - SNGC,300 940 970 00027,SAS,B T V INVESTISSEMENTS &Tony Louis BONIFACI & Fabien CAZENAVE & SAS CDA,01/01/1974,Entre 20 et 49 salariés,Construction d'ouvrages d'art,4213A,5790,883,0.023,1887,-1740,-1590,681,111,0.009,145,809,5884,0.00,0.12,0.15,0.32,0.00,75666.67,1,1
UNION BEURRIERE DU VAL DE MIEGES,778 407 726 00018,Société coopérative agricole,François VUILLEMIN & Laurent Claude Denise CUBY & SOCIETE COOPERATIVE AGRICOLE FROMAGERE FRUITIERE DE LA BAROCHE,01/01/2000,Entre 6 et 9 salariés,Fabrication de beurre,1051B,2490,77.7,569,1180,48.6,860,189,86,6,812,171,2172,0.48,0.08,0.03,0.54,03.01,31.50,1,1
MICROPIERRE SA,552 820 557 00031,SASU,Philippe CHANEY & GRANT THORNTON & INSTITUT DE GESTION ET D'EXPERTISE COMPTABLE - IGEC,01/01/1955,Entre 10 et 19 salariés,Fabrication d'isolateurs et pièces isolantes en céramique,2343Z,4140,474,148,2528,968,2300,711,576,4.3,1330,600,3430,0.19,0.17,0.11,0.74,0.68,165.35,1,0
MAIA RAIL,520 352 782 00038,SA,Marc LOURDEAUX & Jean-Philippe MONNERIE & Frédéric Cédric FOUR & ROFFE ET ASSOCIES & Michel BERNARD,02/02/2010,Entre 20 et 49 salariés,Construction de voies ferrées de surface et souterraines,4212Z,7895,-842,643,2537,455,700,-236,600,4.5,245,-335,6682,0.25,-0.03,-0.11,0.38,-2.72,-0.01,3,3
LABORATOIRE D'ETALONS D'ACTIVITE,538 613 613 00040,SASU,"Jean-Luc VINCENT & Simon, Robert & Pascal, François Xavier SEGAL & KPMG S.A",30/11/2011,Entre 20 et 49 salariés,Enrichissement et retraitement de matières nucléaires,2013A,8170,745,0,-700,6270,6510,1560,250,35,244,1540,9000,0.00,0.19,0.09,-0.08,0.00,44.57,3,3
SECIP SOC EXPL CHAUFFAGE INSINERAT,712 820 968 00022,SARL,Thierry LANDAIS & Barthélémy FOUBERT & EXCO ACE (EX ACE) & BL AUDIT,01/01/1971,Entre 20 et 49 salariés,Production et distribution de vapeur et d'air conditionné,3530Z,6600,462,1440,639,1990,2040,345,38,4,51.2,532,5127,2.25,0.05,0.07,0.12,4.17,86.25,3,3
AXEO DEVELOPPEMENT,501 233 563 00011,SASU,LPS RÉSEAUX & François-Xavier ANDRAULT & DUO SOLUTIONS AUDIT,06/11/2007,Entre 10 et 19 salariés,Supports juridiques de gestion de patrimoine immobilier,6832B,4750,429,171,1701,1140,1650,719,10,0.1,513,556,2925,0.10,0.15,0.09,0.58,0.24,7190.00,1,0
AQUARELIA GESTION,504 813 007 00029,SASU,"Stéphane, Vincent, Joaquim ORIA & Laurence Bernadette CHOPARD & FERRUA RIBES AUDIT & Franck FERRUA",03/06/2008,Entre 10 et 19 salariés,Supports juridiques de gestion de patrimoine immobilier,6832B,1590,17.2,147,17,-18.3,143,5.81,50,0.1,161,24.6,505,8.65,0.00,0.01,0.03,25.30,58.10,3,3
AP ENTREPRISES ET SERVICES,448 684 928 00014,SASU,Antoine Marie Georges PLUCHET & Véronique Marie Joseph DESOUTTER & BOURBON CHRISTIAN AUDIT & Bernard DESGACHES,20/05/2003,Entre 10 et 19 salariés,Supports juridiques de gestion de patrimoine immobilier,6832B,444,199,29.8,1102,45.6,390,73.8,66,0.7,345,205,1339,0.03,0.17,0.45,0.82,0.40,105.43,1,0
SA A DIRECTOIRE GADEA INVESTISSEMENTS,300 940 236 00015,SARL,Christophe GADEA & Nathalie Monique GADEA,01/01/1974,Entre 1 et 2 salariés,Supports juridiques de gestion de patrimoine immobilier,6832B,386,-37.5,54.4,509,-15.7,21.5,120,300,0.2,37.2,-23.5,678,0.11,0.31,-0.10,0.75,0.45,600.00,2,2
EPI ENOLA,434 835 062 00051,SASU,JEAN-MARC LE PRADO,01/03/2001,Entre 1 et 2 salariés,Supports juridiques de gestion de patrimoine immobilier,6832B,463,08.07,60.06,185,220,233,25.7,129,2.8,13.1,12,334,0.32,0.06,0.02,0.55,2.34,9.18,2,2
SOCIETE LITTORALE D ETUDES IMMOBILIERES ET DE LANCEMENT SOLEIL,696 220 466 00036,SARL,Eric André Jean DOLLA,01/01/1972,Entre 1 et 2 salariés,Supports juridiques de gestion de patrimoine immobilier,6832B,179,97.1,92.2,541,56.6,330,147,174,2,274,116,648,0.17,0.82,0.54,0.83,0.63,73.50,1,0
GNV ALPES GRENOBLE,440 033 512 00011,SAS,Thierry JACQUIN & Habib SEHIL & MAZARS & Christine Céline Danièle GOCHARD & Christophe SUSZYLO & Jean-Baptiste FURIA & Françoise Madeleine Anne GARNIER,30/10/2001,0 salarié,Distribution de combustibles gazeux par conduites,3522Z,1450,-200,0,159,-1950,-1640,185,152,0.1,307,-26.5,3064,0.00,0.13,-0.14,0.05,0.00,0.60,3,3
TEJELEC,809 382 021 00016,SARL,Gilles Paul César ELICAGOYEN,17/01/2015,Entre 1 et 2 salariés,Distribution d'électricité,3513Z,81.9,18.1,0,38,10.1,38.6,21.4,1,0.1,28.5,18.1,46.5,0.00,0.26,0.22,0.82,0.00,214.00,1,0
COOPERATIVE D ELECTRICITE,956 200 190 00018,SA,Alain GOBAUT & Yves ISSERMANN & Robert DUNY & Annie DROUET & Cécile DUNY & Frédérique Solange Louise DUVAL BROWN ET ASSOCIES,01/01/1956,Entre 10 et 19 salariés,Distribution d'électricité,3513Z,7960,814,7.67,8624,-1570,5120,1490,30,0.1,6690,1230,14790,0.00,0.19,0.10,0.58,0.01,14900.00,1,1
NADIC SOC NANTAISE DISTRIBUTION CHALEUR,864 801 527 00036,SA,Nebojsa MAKSIMOVIC & DALKIA & Jérémie SOMVEILLE KPMG SA,01/01/1964,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,6410,-168,6830,-5188,-372,-250,146,40,55,122,833,11023,-1.31650,0.02278,-0.02621,-0.47065,46.78082,2.65455,3,3
STADE ENERGIES SAS,410 595 482 00051,SASU,Jean Christophe ALLUE & Yann MADIGOU & ERNST & YOUNG AUDIT,25/11/1996,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,5670,2610,334,9867,-1910,-1590,4650,153,1.5,323,3520,13805,0.03385,0.82011,0.46032,0.71474,0.07183,3100.00000,1,0
NORENERGY,428 609 242 00014,SAS,NORPAPER AVOT-VALLEE & Valerie Marie-José LAROCHE & PRICEWATERHOUSECOOPERS AUDIT,13/12/1999,Au moins 1 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,1110,614,4800,3067,1660,1780,1430,1250,35,129,1150,10486,1.56505,1.28829,0.55315,0.29249,3.35664,40.85714,2,2
ENERGIVRY,443 526 454 00048,SARL,Jean-Christophe ALLUE & ERNST & YOUNG ET AUTRES,27/8/2002,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,4640,315,635,873,-1130,-1050,986,20,1,83.1,904,11041,0.72738,0.21250,0.06789,0.07907,0.64402,986.00000,2,2
CGCU CIE GEOTH CHAUF URBAIN,304 827 306 00032,SA,Stéphane & Jean & Louis AUFFRET & IDEX SERVICES & Eric & Jean & Pierre ROBIN PwC Entrepreneurs France,4/12/1985,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,5690,864,8550,9133,7000,7500,2730,182,411,501,2030,24084,0.93617,0.47979,0.15185,0.37921,3.13187,6.64234,2,1
FLEURY CHAUFFAGE SOFLEC,086 880 259 00014,SARL,Guillaume Michel Philippe COUPEAU,1/1/1968,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,2890,131,5880,-782,-467,-467,725,16,337,0,1020,13360,-7.51918,0.25087,0.04533,-0.05853,8.11034,2.15134,3,3
BLANC MESNIL ENERGIE SERVICES,440 117 307 00031,SASU,CORIANCE GROUPE & PRICEWATERHOUSECOOPERS AUDIT,5/11/2001,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,6900,-296,17500,383,-2800,-2800,2220,130,633,0,1860,28047,45.69191,0.32174,-0.04290,0.01366,7.88288,3.50711,3,3
STSP SOCIETE THERMIQUE DE SALON DE PROVENCE,637 080 276 00016,SA,Frédéric & Pierre & Nicolas & Antoine TURIN & CORIANCE & Serge BURTIN & DALKIA PRICEWATERHOUSECOOPERS AUDIT,1/1/1970,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,5290,2250,479,1171,733,3220,1720,39,16,2480,673,4038,0.40905,0.32514,0.42533,0.29000,0.27849,107.50000,1,0
AES AULNAY ENERGIE SERVICES,423 963 438 00019,SASU,CORIANCE GROUPE & PRICEWATERHOUSECOOPERS AUDIT,9/8/1999,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,7730,1370,2090,2036,2330,2330,2690,610,103,0,1960,8387,1.02652,0.34799,0.17723,0.24276,0.77695,26.11650,1,1
SOCIETE DE COGENERATION DU BOURRAY,444 642 714 00075,SASU,Thierry LANDAIS & Philippe DRONEAU & ERNST & YOUNG AUDIT & AUDITEX,6/12/2002,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,3130,-3290,0,-4335,-5130,-5130,1180,40,49,0,1240,2281,0.00000,0.37700,-1.05112,-1.90048,0.00000,24.08163,3,3
CHELLES CHALEUR,393 779 053 00023,SASU,CORIANCE GROUPE & PRICEWATERHOUSECOOPERS AUDIT,25/1/1994,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,8320,-222,1310,2648,169,169,1920,369,610,0,1980,20226,0.49471,0.23077,-0.02668,0.13092,0.68229,3.14754,2,2
FALAISE ENERGIE,444 485 098 00016,SA,Claude NICOLAS & DALKIA Jean Pascal BACQUAERT,19/11/2002,0 salarié,Production et distribution de vapeur et d'air conditionné,3530Z,1010,-52.4,2600,-696,-127,-127,1010,38.2,112,0.192,303,6196,-3.73563,1.00000,-0.05188,-0.11233,2.57426,9.01786,1,1
AQUAFRAIS CANNES,830 310 140 00025,SAS,AQUAFRAIS CANNES HOLDING & SR AUDIT,16/6/2017,Entre 10 et 19 salariés,Aquaculture en mer,0321Z,7040,-315,6880,1773,4140,4540,910,10,101,401,957,8931,3.88043,0.12926,-0.04474,0.19852,7.56044,9.00990,3,3
FERME MARINE DE NOIRMOUTIER,378 189 666 00027,SAS,HEMARINA,12/5/1990,Entre 3 et 5 salariés,Aquaculture en mer,0321Z,650,28.7,725,322,-38.2,-29.7,194,150,5.2,8.53,218,1031,2.25155,0.29846,0.04415,0.31232,3.73711,37.30769,2,2
ETABLISSEMENTS TARBOURIECH,532 639 184 00011,SAS,Romain TARBOURIECH & Florie TARBOURIECH,29/4/2011,Entre 6 et 9 salariés,Aquaculture en mer,0321Z,1360,109,1830,173,1660,1720,170,5,2.1,59.3,172,2365,10.57803,0.12500,0.08015,0.07315,10.76471,80.95238,3,3
SARL HUITRES COCOLLOS,538 717 646 00011 ,SARL,Jacques Michel Gabriel COCOLLOS,5/12/2011,Entre 3 et 5 salariés,Aquaculture en mer,0321Z,1900,39.2,518,969,98.4,166,136,17.9,8.2,67.7,113,969,0.53457,0.07158,0.02063,1.00000,3.80882,16.58537,1,1
SARL KORNOC ETS STEPHAN,438 442 923 00019,SARL,Mauricette RIEUX & Eric STEPHAN,1/7/2001,Entre 3 et 5 salariés,Aquaculture en mer,0321Z,478,32.6,505,357,175,455,113,140,4.7,279,111,889,1.41457,0.23640,0.06820,0.40157,4.46903,24.04255,1,1
COOP MARITIME L ECLOSERIE DU TINDUFF,450 622 766 00019,SA,André LE GALL & COMITE DEPARTEMENTAL DES PECHES MARITIMES ET DES ELEVAGES MARINS DU FINISTERE,1/9/2003,Entre 3 et 5 salariés,Aquaculture en mer,0321Z,618,187,130,1052,345,832,388,61.7,-1.3,487,395,1244,0.12357,0.62783,0.30259,0.84566,0.33505,-298.46154,1,0
SARL ETANG DE DIANA,782 993 620 00015,SARL,François-Marie PANTALACCI,25/12/1974,Entre 10 et 19 salariés,Aquaculture en mer,0321Z,1500,122,88.3,4933,203,800,187,27,-0.7,597,191,5442,0.01790,0.12467,0.08133,0.90647,0.47219,-267.14286,1,0
ECLOSARIUM,395 313 208 00013,EURL,Lionel & Ernest & Joseph SCUR,6/6/1994,Entre 3 et 5 salariés,Aquaculture en mer,0321Z,189,-150,44.9,383,-440,-436,-191,65,4,3.86,-129,299,0.11723,-1.01058,-0.79365,1.28094,-0.23508,-47.75000,3,3
TISMAIL,399 818 087 00021,SAS,S.L.T. & B.L.V. & INTERCOMEX,2/1/1995,Entre 20 et 49 salariés,Fabrication d'articles chaussants à mailles,1431Z,4940,32,623,1004,845,967,967,89,5.2,122,258,3541,0.62052,0.19575,0.00648,0.28354,0.64426,185.96154,1,1
CHAUX DE BORAN,348 943 606 00056,SASU,Cedric Joannes Rosa DE VICQ DE CUMPTICH & Jacques CHANTECLAIR & MAZARS,23/12/1988,Entre 3 et 5 salariés,Fabrication de chaux et plâtre,2352Z,9690,47,0.827,1335,2060,2070,254,762,-192,1.31,234,4205,0.00062,0.02621,0.00485,0.31748,0.00326,-1.32292,3,3
LABORATOIRES BIOTIC PHOCEA,423 788 975 00047,SARL,Sandie Sonia TIZIANO & CPECF - AUDIT,13/7/1999,Entre 20 et 49 salariés,Fabrication de colorants et de pigments,2012Z,3730,690,499,1892,649,2120,960,290,-1,1470,819,2837,0.26374,0.25737,0.18499,0.66690,0.51979,-960.00000,1,0
BEA BREST ENERGIE ACCUMULATEURS,431 443 563 00017,SARL,Caroline LAMBERT,3/5/2000,Entre 1 et 2 salariés,Fabrication de piles et d'accumulateurs électriques,2720Z,513,-31.1,119,163,266,273,-9.83,15,1.5,07.01,-11.4,383,0.73006,-0.01916,-0.06062,0.42559,-12.10580,-6.55333,3,3
AEGILOPS APPLICATIONS,440 809 374 00026,SAS,hubert SAINSARD & Julien BAS & Marc BONFILS & GESTIONPHI & S.C.P. DE COMMISSAIRES AUX COMPTES MONTIEL ET ASSOCIES & Laurent MARTEL & Chantale PETTE,2/1/2002,Entre 6 et 9 salariés,Fabrication de colorants et de pigments,2012Z,5990,1520,0.1,3738.2,2440,3620,2270,100,0.1,1180,1550,5065.3,0.00003,0.37896,0.25376,0.73800,0.00004,22700.00000,1,0
VEXIN TECH,819 365 461 00014,SARL,Michael MATHIAS & Rudi MATHIAS,1/4/2016,0 salarié,Fabrication de parquets assemblés,1622Z,234,5.1,30,22.5,32.2,52.5,7.64,4,0.7,20.3,6.1,65.1,1.33333,0.03265,0.02179,0.34562,3.92670,10.91429,2,1
BROT TECHNOLOGIES,608 200 614 00048,SAS,Gilles CHARLIER & S 2 F ASSOCIES & Jean-Luc FLUCK,1/1/1974,Entre 20 et 49 salariés,Construction de locomotives et d'autre matériel ferroviaire roulant,3020Z,6480,865,30.2,2945,1560,2100,1320,1000,1,536,981,4132,0.01025,0.20370,0.13349,0.71273,0.02288,1320.00000,1,0
FORAGES MASSE MICHEL,308 598 861 00018,SAS,Philippe AUGER & AUDIT XAVIER ROUSSEL & STE D'EXPERTISE COMPTABLE ET DE COMMISSARIAT AUX COMPTES - CSV AUDIT,1/1/1977,Entre 20 et 49 salariés,Forages et sondages,4313Z,6700,165,330,5215.1,1910,4680,506,217,2.9,2770,485,6353.9,0.06328,0.07552,0.02463,0.82077,0.65217,174.48276,1,1
